ra,dec
358.97778,12.37529
0.89965,10.60379
0.98486,10.8764
1.0541,10.79056
0.43855,13.10058
0.57986,12.9717
0.97452,12.76682
358.20779,11.96116
358.46713,12.91543
359.34161,13.11978
358.99423,12.63522
358.97363,12.18984
0.51653,12.531
359.48996,12.14861
359.22589,11.39849
358.92148,11.47274
359.49954,11.28791
0.94415,10.27416
0.96499,12.98531
0.46824,13.24588
1.29651,12.62698
1.3958,12.50618
0.56778,12.91798
0.68326,12.82434
1.16137,13.0521
0.9554,12.79929
0.71762,12.75458
0.5515,12.76705
359.75229,14.00229
0.19954,14.27754
2.02713,13.75803
0.67029,13.95945
358.45361,13.24385
358.47659,12.91783
358.67587,12.82833
37.4146929,1.3030169
37.3825646,1.6522636
37.8282981,1.4623952
38.0243314,1.8658484
37.6601236,1.852347
38.27964,1.0839802
38.4633552,1.080895
38.5245564,1.1216359
36.8465391,1.5568202
37.4096336,1.9128184
36.2894215,2.1976533
36.629969,3.766707
37.3103749,3.9665716
37.1430802,3.2528886
37.8713947,3.7999025
37.6539335,3.7895117
38.2083049,3.6932915
38.3130558,3.0104733
38.1663746,2.9577536
37.5182517,3.0945242
37.800749,2.8740314
37.4790294,3.3222847
37.9914662,3.7833437
38.1326319,3.9336487
38.3878585,3.475321
37.2235908,2.8361281
37.9961918,2.4821306
38.1343365,2.5051607
36.8011617,2.6674161
36.9234907,2.7386784
38.8625228,1.6168291
38.9724387,1.8030248
39.6110353,1.979822
39.4299539,1.9703719
38.6640712,1.1190187
39.4137968,2.0120081
38.9007643,1.3608563
39.0961775,2.919756
39.0018451,3.2028283
38.3868112,2.6392327
38.6348653,3.1414066
38.6033972,4.1614287
38.6534611,4.8603303
38.339339,4.3812069
39.2829398,3.677558
38.374081,4.2413801
38.3806383,4.0826044
37.6271961,5.2930514
39.03865,4.9879458
38.778055,4.8341735
39.5817972,4.9081881
39.9101193,3.833865
39.8186596,3.7016912
35.8973031,4.5615568
35.5571307,4.1299414
35.8709684,3.7848584
37.1575327,4.3066115
320.00125,-5.12952
319.37918,-3.92598
321.67178,-4.13873
317.87711,-2.03247
320.0653,-4.876423
322.03183,-1.59497
317.781523,-2.038706
317.83038,-2.09369
318.0752167,-1.3200944
53.959173,-1.984291
54.017866,-1.956755
55.184164,-2.671574
54.761346,-3.627094
56.613511,-3.968807
55.808211,-1.018715
56.968832,-2.048649
53.18572,-1.15356
55.154177,-1.393946
54.536383,-1.376823
55.48925,-4.70487
54.946529,-4.670199
53.879178,-4.316083
54.048882,-2.607462
54.78759,-2.011378
56.741301,-3.461804
56.512807,-4.138063
56.429629,-4.091609
56.529877,-4.069182
56.50485,-4.266064
57.648572,-2.351743
322.53302,2.07145
324.28488,0.44643
325.42249,4.10461
322.85275,2.69293
322.85046,2.49132
57.173947,4.434159
338.7654042,1.848575
336.613405,3.472579
337.2824125,3.6106889
336.7677,0.75486
336.74643,2.94641
338.13757,2.24873
338.723248,2.188239
338.565194,3.587276
338.95657,1.49647
12.47766,38.377894
329.654125,7.4406639
350.206423,1.739056
350.330772,1.403173
352.194378,3.511406
349.82928,0.94585
351.08713,1.99522
351.352387,3.797367
351.0823792,1.441275
100.95922,33.079996
101.19834,33.237664
21.38105,1.7592444
20.027843,3.415548
345.9097167,1.8494889
346.2279083,1.7364556
346.451105,3.545059
346.306836,2.549373
346.410831,3.059197
347.8309,4.98044
344.5680042,4.5601389
345.369262,1.753488
346.024695,1.9076
16.21242,5.22734
16.01726,5.14103
15.55741,5.56712
15.42816,5.94735
16.24426,5.78009
15.77927,5.66868
15.73723,5.65654
14.66496,5.24898
14.4275,5.39691
14.71522,5.87097
14.73048,7.15327
14.79619,6.9293
14.32431,7.93887
15.21017,7.9396
14.90292,8.02818
14.68266,8.08009
15.11784,7.79628
15.26194,7.75614
15.65176,7.94261
15.34558,7.83523
15.74762,7.09033
16.18565,7.17178
16.07281,7.11812
15.20626,7.35704
15.2971,7.25473
15.36131,6.38182
15.30163,6.36765
15.13631,6.58813
15.18812,6.66663
15.28933,6.66311
15.36152,6.76777
15.13771,6.71356
15.88639,6.42773
16.03466,6.47349
15.61579,6.76777
15.40664,6.76395
14.97575,6.15271
14.92747,6.40107
17.83076,7.04256
17.37063,6.08324
16.97873,6.18197
16.89723,5.97635
17.25961,5.64214
17.35047,5.71354
16.80572,5.38603
16.35189,6.84857
16.42015,7.43587
16.75288,7.16734
16.1969,6.88818
16.59838,6.06557
16.60353,7.78005
16.52574,8.21599
16.65881,8.5343
16.9556,8.07701
16.6892,8.13067
16.43299,7.8814
14.96828,9.45935
15.28157,9.49102
15.04692,9.43953
16.17282,9.69854
16.19202,9.69588
16.12459,9.36714
16.01284,9.29539
15.44642,9.46203
15.51564,9.54483
15.6278,9.67908
15.79405,9.12745
16.78916,9.05895
16.24615,9.06314
17.10192,8.34866
17.12575,8.32303
13.65545,8.38217
13.52931,7.60332
13.90606,7.50654
13.39544,8.06706
13.824542,8.484028
13.91346,8.30276
14.11716,8.11525
14.1604,7.89069
13.83607,7.8589
15.91583,8.2002
15.58792,8.59522
14.90465,8.8653
13.65735,8.62445
14.28902,9.40304
14.31085,9.37407
14.8734,9.01304
14.80106,9.0452
14.88914,9.15962
14.75505,9.45485
13.95543,9.06835
346.95392,0.94052
348.18105,2.579907
341.64102,6.13746
340.43069,8.75704
37.9766452,1.1156883
37.5102023,1.4229283
37.4149255,1.8022164
37.6097875,1.9198809
38.0327508,1.3197784
38.4320704,1.3975823
36.6179659,1.3269023
36.8552164,3.2521587
38.1680216,2.9581903
38.0238599,2.1468006
37.2284719,2.6062564
37.6019167,2.2060555
37.9246879,2.7987397
36.8022887,2.6736878
40.1363408,3.3907749
39.4744255,2.8874459
40.0720151,2.4259808
38.7719007,1.6149309
39.3871627,1.6520451
39.428678,1.8097266
39.7077438,2.0454479
39.850658,1.9622922
38.9775686,2.783742
38.2537487,2.6118414
38.3440209,3.0008757
38.3553379,4.1755365
38.386434,4.1048813
38.6592677,3.8983138
38.6078129,3.8564339
38.7894173,4.935092
39.6145991,3.5488795
39.6618376,4.0455384
39.253091,4.2423243
36.4634637,4.1723768
37.8248754,4.1226599
37.9795906,4.3409169
37.0317371,4.8217351
340.95688,-2.6027
38.0901024,1.1749836
37.3167066,1.3008813
37.4338841,1.7340097
37.846869,1.3960582
37.7431873,1.3668108
38.3099979,1.7099482
38.1555792,1.8283058
38.6397424,1.0931862
37.7688888,1.133909
37.745327,1.1128365
37.4813396,1.0767659
36.8520473,1.7119074
37.3834863,1.8399871
36.2571236,2.2021539
36.9577674,2.9780565
36.8540535,2.9301028
36.62438,3.5752716
36.6577558,3.2859253
36.6588019,3.8086383
37.1631301,3.2791807
36.861896,4.0874927
37.7152562,3.8526926
37.9067145,3.671342
38.0437128,2.8863413
38.0074006,3.313246
38.2374879,3.1832456
37.4516098,3.0994473
37.7390045,2.8422026
37.3681729,3.3429353
38.2019026,3.8944447
37.5591804,2.2998227
37.6953053,2.3814874
37.1847815,2.8228551
37.3295319,2.522928
37.3985535,2.1045473
38.0070831,2.7039647
37.9846514,2.7322117
38.0089626,2.3273284
37.7483692,2.5988467
37.8600141,2.5521763
37.7287385,2.7887776
36.9324161,2.4829299
36.862905,2.6250573
37.2155523,1.9633027
39.6905033,3.2789496
39.737967,2.9977028
39.9904268,2.6071542
39.9419027,3.0816915
39.8530691,2.7287638
39.636139,2.563643
39.2419418,2.7049751
39.1571473,2.6906063
38.8759057,1.642403
39.0411293,1.7882221
39.3825836,1.72992
39.2186162,1.7759629
39.7232281,1.9201576
38.7440142,1.495695
38.5767081,1.3936459
39.1940473,1.531398
38.69475,3.458495
39.0801143,3.2069325
38.5831186,2.5141783
38.9181672,2.5693448
38.2412701,2.6022046
38.5895891,3.1741505
38.5062993,3.5722848
38.6466579,4.2270704
38.8228912,4.5977735
38.8650319,4.4029088
38.3096483,4.8228421
38.3133526,4.5456041
38.2536913,4.4834142
38.2569264,4.3867877
38.4516497,4.3044494
38.2905045,4.0983543
38.4445145,4.288721
38.4985027,3.8377648
38.3834707,3.8772794
38.6851399,3.8190779
39.2950113,3.4106123
36.1722103,3.0711766
36.5061799,2.7912702
38.3161412,5.0765377
37.6511355,5.6261257
37.7862568,5.2849419
39.0416375,5.0744591
38.8206831,5.4646352
39.9992126,3.5333725
39.557237,4.4497242
36.2144282,3.5569672
35.8169677,4.3011438
36.2829186,4.5068649
36.0589871,3.6938263
37.7407278,4.4389511
38.0259557,4.7661807
36.8316653,4.3630444
37.258691,4.4841208
37.346301,4.5623089
38.1632796,4.3627437
38.1284877,4.3851744
38.2043138,4.5875394
38.0688858,4.3782936
38.1183576,4.6513654
38.0705754,4.6723053
37.7681461,4.0625497
37.7350252,4.9209055
37.2697914,4.094621
37.1333539,4.3033787
36.8895257,5.120105
37.221419,4.9616114
37.1163449,5.177955
36.5223243,4.9905475
36.3864775,4.9990039
36.568714,4.9520267
36.5008838,5.0510646
36.2826828,5.098685
36.2642454,5.0463256
338.69199,5.18208
338.64499,5.81737
340.55945,7.13195
340.41351,8.07637
341.8677042,8.2270194
339.41623,5.80482
340.86047,6.63166
340.99094,5.63099
340.39288,7.30361
340.7471,7.06228
340.51874,8.23873
340.9635,8.6366
340.92792,8.77685
340.9585,8.67783
341.17554,8.60517
338.9429,8.15946
338.79919,8.18169
98.894652,34.45576
99.514893,33.47678
131.685733,17.755075
129.540176,19.725669
132.102754,18.331062
132.108824,20.883085
57.864584,31.66351
58.378755,30.744274
57.815707,31.019428
59.824539,30.01243
58.659023,32.262436
120.77857,31.279307
121.18308,32.644339
120.92977,32.546429
121.67008,33.156646
120.64315,31.648739
119.84096,32.28309
121.51816,32.069514
121.646,31.934244
121.97455,33.93695
121.61449,34.316003
121.99002,33.421489
119.1123,33.180757
118.9283,33.106503
118.9131,33.589741
121.51051,31.44382
121.67508,33.203366
121.1122,33.632278
122.58771,31.463583
119.07243,33.88586
140.8386667,-2.4461417
142.1034917,-2.1264694
142.284286,-2.549069
143.0220833,-1.2774611
139.7462248,-0.216441
150.1259583,-2.9690889
151.5504917,-1.5533333
40.763495,36.587048
39.207791,33.328118
42.369389,35.385403
42.110256,35.432346
40.39995,37.226678
43.094664,36.735143
40.552283,35.732552
41.240937,32.706245
39.205771,33.327808
42.067233,34.419806
42.357552,35.393105
41.103962,37.492073
147.979256,-6.822893
147.413479,-5.166487
147.187952,-6.597383
147.735286,-4.997731
147.863421,-5.103315
147.341961,-5.190332
147.302985,-5.338139
148.018468,-4.996708
147.573661,-5.746324
144.728983,-4.86595
3.253238,30.915233
0.787063,31.036412
0.361548,31.433722
3.48718,30.882938
3.302038,31.14607
0.038158,32.738452
146.472676,-0.268299
147.895864,1.1120668
147.345453,1.145487
147.3610854,4.0031729
145.151725,3.5771722
148.334264,0.697808
3.241812,37.831806
0.315345,36.969329
1.777261,35.818157
19.979458,16.544768
54.00668,1.104744
53.155937,1.382681
53.65695,3.592902
136.0896119,41.4817433
134.709371,41.580226
134.4241515,43.127473
138.554432,43.135065
138.935848,42.266211
137.4912151,43.8511109
138.935538,44.236077
139.195003,43.712565
134.876864,44.913934
136.180909,42.320287
67.755308,8.086236
7.2002373,39.875203
10.472488,40.354802
20.24441,25.54858
20.56092,25.7298
63.093788,30.354846
151.0758754,36.0984967
151.77119,35.1066389
153.274139,35.282082
153.47978,38.842698
153.371201,38.619823
153.460451,38.764871
153.470089,38.654501
152.1930934,38.6349552
153.460373,38.375436
153.52959,38.65255
150.263074,36.618636
167.2022446,7.0060072
164.5090431,8.1617515
38.2027875,1.8462083
38.1000757,3.7566373
37.5720403,2.6872474
39.5146809,2.0704235
38.8553522,5.3774939
39.7007663,4.8752966
39.6840709,3.9950212
36.2142832,4.7060154
113.54073,31.405785
121.31718,26.207078
137.0224777,8.5106753
135.7303827,9.2413313
138.1996438,9.8863829
169.4260901,4.4661796
171.3862816,5.0848127
184.4723471,3.6945872
184.28289,3.6822642
184.6136996,3.3256774
184.3457127,4.8611583
17.108541,33.147906
16.854263,32.29279
17.652241,33.126566
14.865433,33.137215
16.880543,32.361921
16.946499,32.309959
