col1,2MASS
2MASXJ10443397+0844153,10443397+0844153
2MASXJ10445988+0823108,10445988+0823108
2MASXJ10505357+0807576,10505357+0807576
2MASXJ11022275+0803096,11022275+0803096
2MASXJ13053788+0849133,13053788+0849133
2MASXJ13343579+0843132,13343579+0843132
2MASXJ13352932+0804245,13352932+0804245
2MASXJ13541884+0825086,13541884+0825086
2MASXJ14093846+0836245,14093846+0836245
2MASXJ14460379+0830405,14460379+0830405
2MASXJ15052604+0817577,15052604+0817577
2MASXJ15225306+0840394,15225306+0840394
2MASXJ15225650+0839004,15225650+0839004
2MASXJ15230260+0836110,15230260+0836110
2MASXJ15233689+0859133,15233689+0859133
2MASXJ15250359+0843063,15250359+0843063
2MASXJ15262947+0835261,15262947+0835261
2MASXJ15425611+0814329,15425611+0814329
2MASXJ15433480+0822066,15433480+0822066
2MASXJ15435536+0813327,15435536+0813327
2MASXJ16074216+0853149,16074216+0853149
2MASXJ16310542+0816376,16310542+0816376
2MASXJ16334140+0824163,16334140+0824163
2MASXJ17152802+0828024,17152802+0828024
2MASXJ21022071+0827170,1022071+0827170
2MASXJ21393460+0852366,1393460+0852366
2MASXJ21402334+0847586,1402334+0847586
2MASXJ22004097+0831099,004097+0831099
2MASXJ22035028+0803007,035028+0803007
2MASXJ22134485+0841387,134485+0841387
2MASXJ22223302+0808569,3302+0808569
2MASXJ22243676+0817548,43676+0817548
2MASXJ22413922+0804350,413922+0804350
2MASXJ22414338+0845249,414338+0845249
2MASXJ22444212+0836186,444212+0836186
2MASXJ23075414+0830588,3075414+0830588
2MASXJ23103416+0802202,3103416+0802202
2MASXJ23193662+0803475,3193662+0803475
2MASXJ23204252+0813014,3204252+0813014
2MASXJ23233629+0826118,3233629+0826118
2MASXJ23260492+0825451,3260492+0825451
2MASXJ23311391+0826568,3311391+0826568
2MASXJ23380662+0801383,3380662+0801383
2MASXJ23465652+0857264,3465652+0857264
2MASXJ00051746+0715592,00051746+0715592
2MASXJ00095405+0716552,00095405+0716552
2MASXJ00162716+0726086,00162716+0726086
2MASXJ00431179+0742571,00431179+0742571
2MASXJ00433913+0713429,00433913+0713429
2MASXJ00463424+0746004,00463424+0746004
2MASXJ00561666+0734533,00561666+0734533
2MASXJ00581970+0714041,00581970+0714041
2MASXJ01244745+0744236,01244745+0744236
2MASXJ02244650+0722131,02244650+0722131
2MASXJ02343639+0720362,02343639+0720362
2MASXJ02384423+0728315,02384423+0728315
2MASXJ02471185+0746561,02471185+0746561
2MASXJ02562433+0750416,02562433+0750416
2MASXJ02590692+0716369,02590692+0716369
2MASXJ02591526+0750237,02591526+0750237
2MASXJ03050355+0724342,03050355+0724342
2MASXJ03103511+0737469,03103511+0737469
2MASXJ03142012+0749109,03142012+0749109
2MASXJ03142975+0746259,03142975+0746259
2MASXJ03224788+0745596,03224788+0745596
2MASXJ03225730+0745326,03225730+0745326
2MASXJ03230958+0751208,03230958+0751208
2MASXJ03265244+0742541,03265244+0742541
2MASXJ03270100+0739531,03270100+0739531
2MASXJ03321855+0715263,03321855+0715263
2MASXJ03393870+0718151,03393870+0718151
2MASXJ03394750+0718362,03394750+0718362
2MASXJ03411651+0745536,03411651+0745536
2MASXJ03422132+0753091,03422132+0753091
2MASXJ08345156+0744281,08345156+0744281
2MASXJ10044144+0712315,10044144+0712315
2MASXJ10233124+0720364,10233124+0720364
2MASXJ10253118+0727461,10253118+0727461
2MASXJ10292101+0746058,10292101+0746058
2MASXJ11074772+0747225,11074772+0747225
2MASXJ13322858+0723459,13322858+0723459
2MASXJ13325307+0723362,13325307+0723362
2MASXJ15124391+0733373,15124391+0733373
2MASXJ15130996+0726166,15130996+0726166
2MASXJ15131056+0717056,15131056+0717056
2MASXJ15162562+0712552,15162562+0712552
2MASXJ15171586+0705570,15171586+0705570
2MASXJ15172432+0729220,15172432+0729220
2MASXJ15181723+0707565,15181723+0707565
2MASXJ15385234+0737168,15385234+0737168
2MASXJ15421927+0751348,15421927+0751348
2MASXJ16031792+0731325,16031792+0731325
2MASXJ21565989+0750329,1565989+0750329
2MASXJ21583695+0726262,1583695+0726262
2MASXJ22441227+0742338,441227+0742338
2MASXJ23003970+0707190,3003970+0707190
2MASXJ23004109+0746290,3004109+0746290
2MASXJ23080730+0702231,3080730+0702231
2MASXJ23093217+0716044,3093217+0716044
2MASXJ23101438+0727091,3101438+0727091
2MASXJ23103511+0731352,3103511+0731352
2MASXJ23110759+0741585,3110759+0741585
2MASXJ23175802+0725548,3175802+0725548
2MASXJ23211602+0751174,3211602+0751174
2MASXJ23562463+0749522,3562463+0749522
2MASXJ00085780+0653250,00085780+0653250
2MASXJ00100556+0611403,00100556+0611403
2MASXJ01312705+0601240,01312705+0601240
2MASXJ01372226+0633195,01372226+0633195
2MASXJ01372558+0627328,01372558+0627328
2MASXJ02341857+0646305,02341857+0646305
2MASXJ02451503+0627130,02451503+0627130
2MASXJ02561869+0621386,02561869+0621386
2MASXJ02572748+0600461,02572748+0600461
2MASXJ02575470+0608206,02575470+0608206
2MASXJ02591778+0608227,02591778+0608227
2MASXJ03002898+0656290,03002898+0656290
2MASXJ03054022+0614001,03054022+0614001
2MASXJ03060279+0624122,03060279+0624122
2MASXJ03072322+0612311,03072322+0612311
2MASXJ03084112+0608259,03084112+0608259
2MASXJ03092431+0648067,03092431+0648067
2MASXJ03113310+0641132,03113310+0641132
2MASXJ03223205+0602345,03223205+0602345
2MASXJ03533687+0621173,03533687+0621173
2MASXJ03575869+0645181,03575869+0645181
2MASXJ03593022+0641217,03593022+0641217
2MASXJ03594130+0633189,03594130+0633189
2MASXJ04104833+0617403,04104833+0617403
2MASXJ09171769+0641516,09171769+0641516
2MASXJ10203236+0652185,10203236+0652185
2MASXJ10205820+0638308,10205820+0638308
2MASXJ11221048+0621314,11221048+0621314
2MASXJ11350146+0633010,11350146+0633010
2MASXJ13113929+0619109,13113929+0619109
2MASXJ13161701+0637525,13161701+0637525
2MASXJ13294692+0627542,13294692+0627542
2MASXJ13350185+0638059,13350185+0638059
2MASXJ15114305+0604419,15114305+0604419
2MASXJ15144460+0606351,15144460+0606351
2MASXJ15151644+0639187,15151644+0639187
2MASXJ15163717+0657552,15163717+0657552
2MASXJ15164731+0656000,15164731+0656000
2MASXJ15170524+0653160,15170524+0653160
2MASXJ15180946+0644348,15180946+0644348
2MASXJ16223737+0640407,16223737+0640407
2MASXJ16232953+0625588,16232953+0625588
2MASXJ20560885+0628229,0560885+0628229
2MASXJ22382815+0643195,382815+0643195
2MASXJ23010132+0644100,3010132+0644100
2MASXJ23010535+0654390,3010535+0654390
2MASXJ23025351+0630435,3025351+0630435
2MASXJ23032297+0656241,3032297+0656241
2MASXJ23043180+0654400,3043180+0654400
2MASXJ23105718+0635515,3105718+0635515
2MASXJ23111408+0640275,3111408+0640275
2MASXJ23113689+0605516,3113689+0605516
2MASXJ23493084+0633052,3493084+0633052
2MASXJ23503684+0644526,3503684+0644526
2MASXJ23510911+0620353,3510911+0620353
2MASXJ00041899+0553378,00041899+0553378
2MASXJ00350814+0532079,00350814+0532079
2MASXJ01083285+0530521,01083285+0530521
2MASXJ01085507+0531454,01085507+0531454
2MASXJ01131582+0501145,01131582+0501145
2MASXJ01414657+0502212,01414657+0502212
2MASXJ02252345+0548527,02252345+0548527
2MASXJ02564200+0559375,02564200+0559375
2MASXJ02571858+0500153,02571858+0500153
2MASXJ02572384+0558543,02572384+0558543
2MASXJ02574719+0559052,02574719+0559052
2MASXJ03074496+0559079,03074496+0559079
2MASXJ03080426+0554245,03080426+0554245
2MASXJ03090096+0552592,03090096+0552592
2MASXJ03142841+0500083,03142841+0500083
2MASXJ03283647+0547257,03283647+0547257
2MASXJ03403885+0522328,03403885+0522328
2MASXJ08073457+0545313,08073457+0545313
2MASXJ08110305+0504273,08110305+0504273
