col1,2MASS
2MASXJ02181718+0753009,02181718+0753009
2MASXJ02242447+0758224,02242447+0758224
2MASXJ02355811+0727305,02355811+0727305
2MASXJ03162745+0750527,03162745+0750527
2MASXJ03424132+0740416,03424132+0740416
2MASXJ03535986+0715235,03535986+0715235
2MASXJ09163976+0715587,09163976+0715587
2MASXJ10113797+0711524,10113797+0711524
2MASXJ11001829+0721327,11001829+0721327
2MASXJ11002023+0735147,11002023+0735147
2MASXJ11084855+0700214,11084855+0700214
2MASXJ11122461+0729416,11122461+0729416
2MASXJ12524990+0707554,12524990+0707554
2MASXJ13194732+0732569,13194732+0732569
2MASXJ13323223+0717392,13323223+0717392
2MASXJ13351993+0728079,13351993+0728079
2MASXJ13575218+0724487,13575218+0724487
2MASXJ15285491+0744426,15285491+0744426
2MASXJ15292292+0758088,15292292+0758088
2MASXJ17544825+0755593,17544825+0755593
2MASXJ20534072+0700268,0534072+0700268
2MASXJ21044966+0747084,1044966+0747084
2MASXJ22203423+0728589,03423+0728589
2MASXJ22421431+0707549,421431+0707549
2MASXJ23090390+0731034,3090390+0731034
2MASXJ23254485+0703390,3254485+0703390
2MASXJ23263473+0742406,3263473+0742406
2MASXJ23274799+0716448,3274799+0716448
2MASXJ23324675+0749466,3324675+0749466
2MASXJ23493388+0737322,3493388+0737322
2MASXJ23542767+0727300,3542767+0727300
2MASXJ23583897+0756418,3583897+0756418
2MASXJ00012233+0625559,00012233+0625559
2MASXJ00083565+0658389,00083565+0658389
2MASXJ00382767+0639340,00382767+0639340
2MASXJ00391532+0624208,00391532+0624208
2MASXJ00404234+0651204,00404234+0651204
2MASXJ00405636+0637429,00405636+0637429
2MASXJ00552725+0644301,00552725+0644301
2MASXJ01012051+0654513,01012051+0654513
2MASXJ01065208+0611416,01065208+0611416
2MASXJ01073272+0620400,01073272+0620400
2MASXJ01092895+0604593,01092895+0604593
2MASXJ01223371+0646064,01223371+0646064
2MASXJ01572238+0646057,01572238+0646057
2MASXJ02082773+0623415,02082773+0623415
2MASXJ02414464+0633220,02414464+0633220
2MASXJ03032465+0645584,03032465+0645584
2MASXJ03090108+0637317,03090108+0637317
2MASXJ03124674+0635366,03124674+0635366
2MASXJ03140125+0631268,03140125+0631268
2MASXJ03191588+0643411,03191588+0643411
2MASXJ03372274+0629145,03372274+0629145
2MASXJ04044884+0646342,04044884+0646342
2MASXJ04123116+0635313,04123116+0635313
2MASXJ04123223+0619513,04123223+0619513
2MASXJ09180780+0658159,09180780+0658159
2MASXJ09210496+0611440,09210496+0611440
2MASXJ10315438+0646563,10315438+0646563
2MASXJ10331283+0644374,10331283+0644374
2MASXJ10343750+0640120,10343750+0640120
2MASXJ10343944+0638300,10343944+0638300
2MASXJ10400294+0601142,10400294+0601142
2MASXJ10411564+0621403,10411564+0621403
2MASXJ10462365+0637104,10462365+0637104
2MASXJ11171650+0611340,11171650+0611340
2MASXJ11262391+0604327,11262391+0604327
2MASXJ11371108+0635138,11371108+0635138
2MASXJ11463388+0640588,11463388+0640588
2MASXJ11503438+0645560,11503438+0645560
2MASXJ13021135+0630303,13021135+0630303
2MASXJ13093390+0622508,13093390+0622508
2MASXJ13102529+0620035,13102529+0620035
2MASXJ13164519+0633411,13164519+0633411
2MASXJ13510538+0651327,13510538+0651327
2MASXJ14532376+0652431,14532376+0652431
2MASXJ15131419+0647396,15131419+0647396
2MASXJ15160445+0650518,15160445+0650518
2MASXJ15174248+0630468,15174248+0630468
2MASXJ15191963+0611192,15191963+0611192
2MASXJ16300429+0635223,16300429+0635223
2MASXJ20481677+0638058,0481677+0638058
2MASXJ22485577+0603301,485577+0603301
2MASXJ23094445+0639455,3094445+0639455
2MASXJ23143515+0631301,3143515+0631301
2MASXJ23144481+0638221,3144481+0638221
2MASXJ23412391+0636298,3412391+0636298
2MASXJ23450915+0601035,3450915+0601035
2MASXJ23492758+0626562,3492758+0626562
2MASXJ23562166+0647182,3562166+0647182
2MASXJ00003209+0521439,00003209+0521439
2MASXJ00010730+0517511,00010730+0517511
2MASXJ00021080+0515340,00021080+0515340
2MASXJ00135036+0559434,00135036+0559434
2MASXJ00304569+0509490,00304569+0509490
